Rut;Nombre;Direccion;Direccion2;Ciudad;Pais;Contacto;Contacto2;Fax;Telefono
76055401-4;COMERCIAL MORAN LTDA.;LAS GAVIOTAS 8843;;;Chile;;;;02-548 5866
76056691-8;Sirius Natura S.A.;Américo Vespucio 2680, Of. 51;;Conchalí;Chile;Fabiola A. Moenne Figueroa;;;23671194
76057412-0;LACTEOS TALAGANTE S.P.A;LOS ULMOS 2851;;TALAGANTE;Chile;;;;
76059149-1;Refrigeración Luis Gonzalez;Rio Loa 645, comuna de Cerrillos;;Cerrillos;Chile;Luis;;;
76059975-1;Elaboradora de Alimentos Gourmet Ltda.;Vitacura 3396 casa 7;;Vitacura;Chile;Rodrigo Leyton;;;
76060397-K;FRUTAROM CHILE S.A.;Hnos Carrera Pinto lote 95-Bodegas 7 y 8- Parque Industrial Los Libertadores;;Colina;Chile;Ana Paulina Contreras;;;227538500
76063364-K;SIWO LTDA;AVENIDA SEMINARIO 188;;SANTIAGO;Chile;RUBEN;;;
76063364-K;SIWO LTDA;AVENIDA SEMINARIO 188;;SANTIAGO;Chile;ANA MARIA;;;
76066284-4;COMERCIALIZADORA ALPA LTDA.;SANTA ELENA 1605;;SAN JOAQUIN;Chile;;;;
76067616-0;Chibras Separadores SpA;Ruta K-635 km 1.6  Bodega 8B;;TALCA;Chile;;;;
76067780-9;COMERCIAL PAILLAHUE LTDA.;RUTA 5 SUR KM. 943;;RIO NEGRO;Chile;;;;
76069192-5;FOODGROUP SPA;SAN FERNANDO 785- JARDIN DEL SUR;;SAN BERNARDO;Chile;;;;
76070033-9;aramar;Av. El Parque #1307 Módulo 10;;Pudahuel;Chile;Irene Baeza;;;
76071377-5;RECIMAR S.A.;CAMINO TEPUAL LOTE 7;;PUERTO MONTT;Chile;LUIS MARPOL;;;
76071588-3;COMERCIALIZADORA DE ALIMENTOS LTDA.;CAMINO AL FUERTE N°42;;COQUIMBO;Chile;;;;51-324241
76071896-3;BALANZAS CONDOR S.A;GENERAL GANA 635;;SANTIAGO;Chile;MARIA EUGENIA ROCHA;;;
76071896-3;BALANZAS CONDOR S.A;GENERAL GANA 635;;SANTIAGO;Chile;NICOLE POBLETE;;;
76072989-2;Innovalim. Inovación Alimenticia Spa.;Americo Vespucio 1353;;PUDAHUEL;Chile;;;;
76078266-1;Comercializadora de Alimentos saludables Ltda.;Av. Calera deTango 2023;;San Bernardo;Chile;Jeannette Arévalo;;;28557430
76079435-K;PUERTO DE HIELO REFRIGERACION SpA;CALLE DOS #1006 JARDINES DEL MAR;;PUERTO MONTT;Chile;EDUARDO;;;
76080985-3;CAMPOS Y COMPAÑIA LIMITADA;EXEQUIEL FERNANDEZ 2339;;MACUL;Chile;PABLO;;;
76082255-8;TRADECOR S.A.;AV. DEL VALLE NORTE 961 OFICINA 1703;;HUECHURABA;Chile;CARLOS SANDOVAL;;;
76082255-8;TRADECOR S.A.;AV. DEL VALLE NORTE 961 OFICINA 1703;;HUECHURABA;Chile;CIRILO VIAL;;;
76082282-5;COMERCIAL RIGA SPA;Roberto Espinoza 1287;;Santiago;Chile;;;;
76082631-6;Raquel Cabrera Carrasco;Agustin Tapia 585;;La Calera;Chile;;;;
76084454-3;COMERCIAL LML S.A.;AV GENERAL VELASQUEZ 2958;;SAN BERNARDO;Chile;ANA MARIA MARIMAN;;;965733957
76084454-3;COMERCIAL LML S.A.;AV GENERAL VELASQUEZ 2958;;SAN BERNARDO;Chile;BASTIAN VILLANUEVA MARIMAN;;;965733957
76085339-9;Guzta Gastronomía Ltda.;Av. Nueva Costanera # 3467;;Vitacura;Chile;Hernán Sarabia;;;29538893
76085365-8;CERVEZAS RUBERG;Calle Tres N°535 Galpón 3 Belloto;;Quilpué;Chile;Javier Elberg;;;56 9 91587448
76088403-0;EMBALAJES EMBALAART LTDA;LOS BOLDOS 117, VALLE GRANDE;;SANTIAGO;Chile;PATRICIA ALARCON M;;;
76088403-0;EMBALAJES EMBALAART LTDA;LOS BOLDOS 117, VALLE GRANDE;;SANTIAGO;Chile;PATRICIO VERDUGO MOZÓ;;;
76088885-0;INDUSTRIAL Y COMERCIAL GOBBET LTDA.;CARDENIO AVELLO N° 231;;;Chile;;;;(41)2310707
76090354-K;SOC. MAESTRANZA DEL SUR LTDA;SANTA INES 603-A;;PUERTO MONTT;Chile;YASNA PEÑA;;;
76090354-K;SOC. MAESTRANZA DEL SUR LTDA;SANTA INES 603-A;;PUERTO MONTT;Chile;MIGUEL ANGEL PARDO;;;
76090854-1;PUREFRUIT CHILE SA;Avenida Ramón Freire 1390;;Romeral;Chile;Aurélie Robert;;;(75) 2431334
76092498-9;DIST. DE PRODUCTOS AGROPECUARIOS LTDA.;Avda. El Santo N°1120;;LA SERENA;Chile;Silvana Oyarzún Cortés;;;51  223527
76092531-4;HEPA CHILE E.I.R.L;;;SANTIAGO;Chile;ROBERTO NAVARRO GALLARDO;;;
76092531-4;HEPA CHILE E.I.R.L;;;SANTIAGO;Chile;MARIA ISABEL FARIAS REYES;;;
76095804-2;Comercializadora de Filtros Ecológicos y Servicios Integrales Ltda.;Egaña N-1520;;Peñalolen;Chile;;;;22 8954363
76097364-5;Juan Carlos Buraschi Trading Spa;Av. Ecuador 4683 Estacion Central;;Estacion Central;Chile;Angie;;;56 2 27640746
76097787-K;DRAGADOS CW CONSTRUCTORA S.A.;29392201;;LAS CONDES;Chile;;;;
76098212-1;BE COLOUR SPA;GENERAL FLORES 20 of 802;;PROVIDENCIA;Chile;PAULINA BORQUEZ PUGA;;;
76099732-3;Master Martini Chile SpA;Av. Américo Vespucio 1385 Módulo 6;;Quilicura;Chile;Claudio Escárate E.;;;26611700
76099789-7;ACONCAGUA FOODS S.A.;JOSE ALBERTO BRAVO 0278;;BUIN;Chile;ANDRES POLANCO;;;02-2941281
76101812-4;SOPROLE S.A.;VITACURA N°4465;;Vitacura;Chile;;;;
76102105-2;Comercial Mayor Ltda.;Los Carrera 445;;;Chile;Rene Valderrama;;;
76102542-2;Corrupac;La Oración 1285,Pudahuel, parque industrial Santiago;;Santiago;Chile;;;;569 7138 0950
76103753-6;COMERCIAL OLEODINAMICA LTDA;LA UNION 370;;PUERTO MONTT;Chile;LUIS MONTENEGRO;;;
76103753-6;COMERCIAL OLEODINAMICA LTDA;LA UNION 370;;PUERTO MONTT;Chile;WILLIAM PINCHEIRA;;;
76105023-0;MANUEL CONTRERAS VIDAL EIRL;AVDA. PDTE IBAÑEZ # 2004. CARDONAL;;PUERTO MONTT;Chile;MANUEL CONTRERAS VIDAL;;;
76106956-K;GENERAL ALQUILER DE MAQUINARIAS CHILE S.A.;PANAMERICANA NORTE  KM23  1/2 PARCELA 10;;LAMPA;Chile;MIGUEL;;;
76106956-K;GENERAL ALQUILER DE MAQUINARIAS CHILE S.A.;PANAMERICANA NORTE  KM23  1/2 PARCELA 10;;LAMPA;Chile;MARISOL;;;
76107590-K;VALLE DE SOL LTDA.;SANTA ELENA 1145;;Santiago;Chile;IVAN BRAVO GONZALEZ;;02 25518755;02 25518755
76107765-1;CITREX CHILE S.A.;Calle Calama #72;;La Cruz;Chile;Susana Veldés;;;
76110239-7;FANCY FOODS S.A.;Faro Raper 1990;;Lampa;Chile;Cesar;;;569 68307430
76112063-8;OVOSUR CHILE S.A.;Av. Ecuador 4683;;Estacion Central;Chile;Silvia Pinilla Jerez;;;27640746
76115143-6;VESET Y CIA LTDA;LINCOYAN 1262;;CONCEPCION;Chile;Daniel Rivera;;41-2739448;41-2739443
76115143-6;VESET Y CIA LTDA;LINCOYAN 1262;;CONCEPCION;Chile;JUAN CARLOS ROA;;41-2739448;41-2739443
76116541-0;ARISMENDI TRANSPORTES SPA;RIBERAS DE TRAPEN, PARCELA 3, PUERTO MONTT;;Puerto Montt;Chile;Karla;;;65 (2) 257810
76116541-0;ARISMENDI TRANSPORTES SPA;RIBERAS DE TRAPEN, PARCELA 3, PUERTO MONTT;;Puerto Montt;Chile;CHRISTIAN;;;65 (2) 257810
76120078-K;Lácteos y Turismo Playa Venado Ltda.;Fundo Playa Venado, Km 16 Ruta 225;;Puerto Varas;Chile;Isabel;;;56 65 2335387
76120578-1;Distribuidora y comercializadora Kolko Ltda.;La Cañada 6231-402-B;;La Reina;Chile;Karina Peñafiel;;;25709520
76121595-7;INDUSTRIAL SUPPLY CORPORATION LIMITADA;German Yungue 4071;;ESTACION CENTRAL;Chile;ROBERTO LUCHSINGER RAMIREZ;;;
76121595-7;INDUSTRIAL SUPPLY CORPORATION LIMITADA;German Yungue 4071;;ESTACION CENTRAL;Chile;EDUARDO LOO AGUILAR;;;
76122343-7;IMPORTADORA CROMTEK SpA;Av. Del Valle Sur 576, of 703. Ciudad Empresarial;;Huechuraba;Chile;José Mosquera Cádiz;;;2-27333499
76122343-7;IMPORTADORA CROMTEK SpA;Av. Del Valle Sur 576, of 703. Ciudad Empresarial;;Huechuraba;Chile;Gabriela González;;;2-27333499
76123219-3;ADMINISTRATION BUSINESS INVERSION AND SERVICE LTDA;Martinez De Rozas 2562;;Santiago;Chile;Felix Ramon Orellana;;;
76123219-3;ADMINISTRATION BUSINESS INVERSION AND SERVICE LTDA;Martinez De Rozas 2562;;Santiago;Chile;Jaime Saavedra Herrera;;;
76123696-2;COMERCIAL ZAMCO LTDA;Vivar 855  Local 3;;;Chile;Gloria Zambra;;;09 82215092
76124965-7;SOLTERO INGENIERIA COMPANIA LIMITADA;RUTA 5 SUR KM 1033 CAMINO A PARGUA;;PUERTO MONTT;Chile;;;;65-2438906
76126107-K;INDUSTRIA DE ALIMENTOS MILPAL S.A.;AV. GABRIELA MISTRAL 110;;LOS ANGELES;Chile;;;;
76137821-K;KINETEC MAESTRANZA LTDA;PICARTE 4215;;Santiago;Chile;;;;63-273713
76138393-0;COMERCIAL VULMIC CHILE LTDA;AVDA LO BLANCO 0241 LOCAL 10;;SAN BERNARDO;Chile;MARCOS ZUÑIGA FUENTES;;;
76143532-9;ELECTROMECANICA INDUSTRIAL M Y CIA S.A. - NO USAR;ARTEMIO MANSILLA 1080;;Santiago;Chile;;;65-262526;65-262526
76144340-2;Elab y Comer de Prod Alim Fangy Ltda.;Benedicto XV Nº255;;Estacion Central;Chile;M.Angélica Zuñiga D.;;;
76147955-5;Karin Piwonka Barthold Diseñadora EIRL;Los Dragones 10118;;Vitacura;Chile;Karin;;;
76148894-5;TRATAMIENTOS DEL PACIFICO S.A.;MARCHANT PEREIRA #221 PISO 6;;PROVIDENCIA;Chile;Lisbeth Lavin;;;
76148894-5;TRATAMIENTOS DEL PACIFICO S.A.;MARCHANT PEREIRA #221 PISO 6;;PROVIDENCIA;Chile;Gustavo Avello C.;;;
76151654-K;MAQPACK MANTENCION INDUSTRIAL LTDA;EL ALAMO 5576;;CERRILLOS;Chile;RICARDO BETANCOURT;;;
76151654-K;MAQPACK MANTENCION INDUSTRIAL LTDA;EL ALAMO 5576;;CERRILLOS;Chile;ALFONSO ORELLANA;;;
76154057-2;PCE INSTRUMENTS CHILE S.A.;CALLE SANTOS DUMONT 738 LOCAL 4;;RECOLETA;Chile;MANUEL;;;
76155767-K;CHILECOSTURA LTDA;ROSAS 1186;;SANTIAGO;Chile;MARITZA TORRES;;;
76157513-9;Chile Botanics;Panamericana Km 297;;Linares;Chile;Camilo Guerrero;;;56 9 7774 8290
76158590-8;CERVECERIA ARTESANAL ARTIAGOITIA HNOS.;SANTA CAROLINA, PARCELA 6, LOTE 4;;LAMPA;Chile;;;;
76159629-2;E&C SOLUCIONES E.I.R.L.;GUARDIA VIEJA 255 OF. 1112;;PROVIDENCIA;Chile;MARTIN SERRANO DUCLOS;;;
76159920-8;SERVICIO DE METROLOGIA INTEGRAL SPA;JOSE MIGUEL CARRERA # 555;;SANTIAGO CENTRO;Chile;Ernesto Fernandez;;;
76159920-8;SERVICIO DE METROLOGIA INTEGRAL SPA;JOSE MIGUEL CARRERA # 555;;SANTIAGO CENTRO;Chile;XIMENA MARIN;;;
76162673-6;MUNDO MUEBLES E.I.R.L;BUIN #436;;Santiago;Chile;;;65-262765;65-318000
76167742-K;Mentaberria;Ongolmo 266, of. 102;;;Chile;Juan Bidart;;;56 9 91395032
76170898-8;Colorantes Naturales Chile Ltda.;Refugio 9663;;Pudahuel;Chile;David Navarrete Rojas;;;
76171101-6;BIOLOGICA LABORATORIOS LTDA.;CHILOE N° 1820;;SANTIAGO;Chile;;;;02-4470333
76172844-K;INDUPROMA SpA;Monseñor Valech 11880;;Maipu;Chile;Juan Manuel;;;56 2 2855 7193
76173433-4;SABORIX ALIMENTOS LTDA.;EL PINAR 209, BODEGA 109;;SAN JOAQUIN;Chile;;;;
76178431-5;MAESTRANZA MMS S.A.;Berlin 824;;Puerto Montt;Chile;Esteban;;;
76178431-5;MAESTRANZA MMS S.A.;Berlin 824;;Puerto Montt;Chile;;;;
76178737-3;Laboratorio Nextfarma Ltda.;Guanaco N°6464, Galpón H2;;Huechuraba;Chile;Carolina;;;
76179877-4;FERRETERIA IND. MARTA MORALES Y CIA LTDA;CRUCERO 1180;;Santiago;Chile;;;65-294433;65-294433
76180420-0;COMERCIAL ILUFI SALINAS COMPAÑIA LTDA;CALLE 4 N° 1934, PARQUE IND. EJERCITO;;CONCEPCION;Chile;;;41-2853453;41-2853450
76180420-0;COMERCIAL ILUFI SALINAS COMPAÑIA LTDA;CALLE 4 N° 1934, PARQUE IND. EJERCITO;;CONCEPCION;Chile;FELIPE CARCAMO;;41-2853453;41-2853450
76180494-4;Biogénesis Animal Health;La Campiña S/N Km 5 Ruta 215;;;Chile;Jorge González González;;;
76187587-6;Comercializadora ANF Ltda.;Las Industrias 1322;;Lampa - Valle Grande;Chile;Mabel Arredondo;;;27471525
76187948-0;Soc.Com. Y de Inversiones Químicos Robles;Avda. Jorge Hirmas 2563;;Renca;Chile;Edita;;;
76189767-5;SOC. COM. E INDUSTRIAL INDUMETAL LTDA.;Los Arrayanes N°427 esquina Santa Inés;;PUERTO MONT;Chile;Alvaro;;;96785236
76190729-8;GRANDALL S.A.;CARDENIO AVELLO N°231;;Concepción;Chile;Karina Espinoza Carrasco;;;041- 2310707
76193810-K;DIMERCO COMERCIAL LTDA.;LAS ROSAS 4680 CERRILLO;;Santiago;Chile;;;;2-3858000
76196202-7;CORALIA DEL CARMEN SERV. Y MANT. E.I.R.L;;;Santiago;Chile;;;;
76196885-8;SOC. PROMARJOF LTDA;ARGENTINA 411;;CONCEPCION;Chile;DAFNE;;;
76196885-8;SOC. PROMARJOF LTDA;ARGENTINA 411;;CONCEPCION;Chile;ANGELA;;;
76199533-2;AGRICOLA Y MAESTRANZA EL BOSQUE SpA;EL TENIENTE 1495;;PUERTO MONTT;Chile;EDUARDO MUÑOZ;;;
76201011-9;SOCIEDAD DE SERVICIOS PATAGONIA VERDE LTDA.;LAS GOLONDRINAS 16 LOMAS PANORAMICAS;;PUERTO VARAS;Chile;Carlos Hirth Infante;;;
76204282-7;ECOFRUTA  SPA;Huérfanos 757;;Santiago;Chile;Gert Frank;;;7851 7032
76206315-8;INDALIMENTOS S.P.A.;Av. El Salto 3076;;Recoleta;Chile;Cristián Rosselot R.;;;56 2 27250657
76210841-0;AR SPA;Avda. El Salto 2768;;Recoleta;Chile;Horacio Campos;;;24344239
76212357-6;Comercializadora Instant Food Chile Ltda.;Cuatro Poniente # 2066;;Maipu;Chile;Lorena;;;
76213529-9;Cervecería AEC S.A.;Los Yacimientos 611;;Maipu;Chile;Maria;;;56 2 2533 3160
76214156-6;COSEMAR SERVICIOS INDUSTRIALES S.A.;5 ORIENTE 368;;Viña del Mar;Chile;SOLEDAD DIAZ;;;
76214156-6;COSEMAR SERVICIOS INDUSTRIALES S.A.;5 ORIENTE 368;;Viña del Mar;Chile;DARIO PARRA;;;
76214975-3;ASICOMP LTDA;OBISPO VASQUEZ 3197;;CERRILLOS;Chile;Claudia;;;
76216651-8;Comercializadora Constanzo EIRL;Santo Domingo 170;;Puente Alto;Chile;Silvia Pinilla Jerez;;;
76216983-5;CENTRO INTEGRAL DE RECICLAJES Y SERVICIOS SPA;CAMARONES 4355;;ANTOFAGASTA;Chile;NATHALY A.;;;998427096
76216983-5;CENTRO INTEGRAL DE RECICLAJES Y SERVICIOS SPA;CAMARONES 4355;;ANTOFAGASTA;Chile;SANDRA R.;;;998427096
76218729-9;COMERCIAL VIVO SANO SPA;PATRICIA VIÑUELA NRO 485 BODEGA H;;Lampa;Chile;Marylin;;;227744271
76221370-2;BOMBAS GRUNDFOS CHILE;HERMANOS CARRERA #137 BODEGA A;;COLINA;Chile;;;;
76223373-8;VENTO-TEX LIMITADA;CALLE N ° 2121 SANTA INES;;VIÑA DEL MAR;Chile;CAROLA;;;32-2489073
76223373-8;VENTO-TEX LIMITADA;CALLE N ° 2121 SANTA INES;;VIÑA DEL MAR;Chile;KAREN;;;32-2489073
76225345-3;GLACIAR REFRIGERACION LIMITADA;Calle Siete N°1043, Sector Jardines del Mar.;;PUERTO MONTT;Chile;HECTOR;;;
76225345-3;GLACIAR REFRIGERACION LIMITADA;Calle Siete N°1043, Sector Jardines del Mar.;;PUERTO MONTT;Chile;Emily;;;
76226025-5;GONZALEZ & MIRANDA COMERCIALIZADORA LIMITADA;CAMINO A PUNTA DE LAPAS 3098;;Quellón;Chile;;;;
76226576-1;THE NOT COMPANY SPA;Av Quilin 3550;;Macul;Chile;;;;
76229760-4;Asimerc Ltda.;;;;Chile;;;;
76231804-0;BIOFOODS SpA;Nueva Costanera 3698, Vitacura;;Vitacura;Chile;Paola;;;
76231866-0;GKD LATAM S.A.;La Esfera Nro 418;;Lampa;Chile;David;;;
76231866-0;GKD LATAM S.A.;La Esfera Nro 418;;Lampa;Chile;Rodrigo;;;
76232027-4;SOCIEDAD COMERCIAL EXPERTO BAGS LIMITADA;PRESIDENTE RIESCO #5157 OFICINA 126;;LAS CONDES;Chile;LUIS CALVACHE;;;
76232027-4;SOCIEDAD COMERCIAL EXPERTO BAGS LIMITADA;PRESIDENTE RIESCO #5157 OFICINA 126;;LAS CONDES;Chile;JAIME MONTERO;;;
96879780-8;Inversiones Viquim S.A.;Av. Pedro de Valdivia Norte N° 061;;Providencia;Chile;;;;02-2478.80.00
76239743-9;ALIMENTOS DOUBLE LAND LTDA.;Napoleón 3010, of 21;;LAS CONDES;Chile;;;;
76240087-1;ANTALIS ABITEK SPA;Av.Pdte Salvador Allende 539;;Huechuraba;Chile;Gabriel García Domínguez;;;
76240087-1;ANTALIS ABITEK SPA;Av.Pdte Salvador Allende 539;;Huechuraba;Chile;Jose Lledo;;;
76241118-0;QUIMICA XETAM LTDA.;SANTA ELENA 1119;;SANTIAGO;Chile;FERNANDO;;;223334625
76241610-7;COMERCIAL E INDUSTRIAL SURPLASTIC LTDA;DIEGO PORTALES 1891;;TEMUCO;Chile;CESAR SEPULVEDA;;;
76243298-6;Comercial Moreno Valdivia Ltda;General del Canto 105 of 1003;;Providencia;Chile;Pablo;;;56 9 4260 5539
76244032-6;AGIMAR S.A.;;;;Chile;;;;
76244371-6;Invema Alimentos Ltda.;O'higgins 3880;;Chillan;Chile;Jorge Vera;;;42 - 2423951
76248431-5;AUSTRAL BIOACTIVE MATERIALS SPA;Independencia 627;;Valdivia;Chile;Carlos Morales;;;63 - 2293600
76248776-4;CHOCO LTDA;Renato Sánchez 4054;;Las Condes;Chile;Jorge;;;
76248882-5;Cobia del Desierto de Atacama SpA;Av. El Bosque Norte 500 Of. 902;;Las Condes;Chile;Daniel Nieto;;;94008755
76255358-9;MAQUINARIAS Y SERVICIOS R. P. M. LIMITADA;;;;Chile;RODRIGO;;;
7625550-4;AGENCIA MANUEL GONZALEZ RUIZ;Aeropuerto sin N;;Pudahuel;Chile;;;;6377037
76255676-6;TECNO LIGTH ING LTDA.;AGUSTINAS 853;;SANTIAGO;Chile;;;;
76256667-2;Fabrica productos plasticos;Linea Vieja S/N°  Parcela 5;;Puerto Varas;Chile;Andrés Hernández;;;
76257494-2;Adama Chile S.A.;Camino Catemito Lote A-2;;Calera de Tango;Chile;;;;
76259011-5;COMERCIAL Y MINIMARKET NATALIA BECERRA;Panquehue s/n;;Malloa;Chile;Julio Coloma;;;72 2985922
76260723-9;NELSON ENRIQUE MONTES VEGA;Puerto Melinka 1208 Altos de Mirasol;;PUERTO MONTT;Chile;Nelson;;;
76263281-0;Lacteos Futaleufu spa;Av del parque 4160. Huechuraba;;Huechuraba;Chile;Roberto;;;
76266813-0;Sociedad de Inversiones Agronatur Ltda.;Almirante Pastene 185 Of. 401;;Providencia;Chile;Cristián Yévenes;;;224029641
76269045-4;AVITRANS SPA;AV. 11 DE SEPTIEMBRE 1881;;PROVIDENCIA;Chile;;;;
76270063-8;LABIMED SPA;FUENZALIDA URREJOLA 171;;LA CISTERNA;Chile;FRANCISCO MUÑOZ;;;
76270063-8;LABIMED SPA;FUENZALIDA URREJOLA 171;;LA CISTERNA;Chile;CLAUDIA LEAL;;;
76272411-1;GSCOM SpA;DIAGONAL ORIENTE #1374;;PROVIDENCIA;Chile;DEBORAH BARRERA;;;22-5709984
76272411-1;GSCOM SpA;DIAGONAL ORIENTE #1374;;PROVIDENCIA;Chile;ANDRES SCHLEYER;;;22-5709984
76272456-1;COM. Y REPRES. INDUSCAS SPA;MANUEL ANTONIO TOCORNAL #1302;;SANTIAGO CENTRO;Chile;JUAN CASTILLO TAPIA;;;
76275313-8;Tecnologías, Servicios y Soluciones para Laboratorio SA;El Litre 1685 - Santa Inés;;;Chile;Natacha Gonzalez;;;563221111306
76277135-7;Ango Science SpA;El Golf 192, 14th ,fl;;Las Condes;Chile;Gonzalo Fuenzalida;;;19785226666
76277574-3;SOCIEDAD DE TRANSPORTES PARHOFF LTDA;CALLE BORDE CASA 1 JARDIN DEL MIRADOR;;PUERTO MONTT;Chile;CESAR PAREDES GONZALEZ;;;
76286103-8;YAHGAN ALIMENTOS SOSTENIBLES LTDA;Merced Oriente 228 Viña del Mar Alto;;Viña del Mar;Chile;Cesar Ruminot;;;77088164
76286222-0;EL CERVECERO SpA;Avda.El Peral  07454;;Puente Alto;Chile;Francisco;;;56 9 7850 9610
76287081-9;Comercial Ordenes;Calle liberta 63, oficina 508;;;Chile;Guillermo Jofre G;;;569 6678 2621
76289214-6;ENVASES JDP;CAUPOLICAN 9340 GALPON 5;;QUILICURA;Chile;;;;56989058713
76292211-8;COMERCIALIZADORA TODO HUINCHA LTDA;RUTA 5 SUR KM 684 METRENCO;;TEMUCO;Chile;SOFIA SOTO TORRES;;;
76292211-8;COMERCIALIZADORA TODO HUINCHA LTDA;RUTA 5 SUR KM 684 METRENCO;;TEMUCO;Chile;Darsy Mera Cofre;;;
76295868-6;Alimentos Bocatti Ltda.;Av. Einstein 0180;;Recoleta;Chile;Jorge Tapia;;;
76297487-8;SINATEX CHILE LTDA.;RENGO 68;;CONCEPCION;Chile;PIA;;;
76297487-8;SINATEX CHILE LTDA.;RENGO 68;;CONCEPCION;Chile;ELIZABETH;;;
76298280-3;GANADERA GOLFO DE ARAUCO;Km 7 Camino Boyen Parcela F;;Chillán;Chile;Javier Contreras;;;042 - 2972950
76302290-0;HAF INGENIERIA Y CONSTRUCCION LTDA;VILLA MICHAEL N° 21;;Puerto Montt;Chile;;;;
76309341-7;AGUAPUR MEDICION SPA;;;;Chile;RUBY BARRIENTOS PERIALE;;;
76309341-7;AGUAPUR MEDICION SPA;;;;Chile;FELIPE ROMAN ARAYA;;;
76311092-3;Elaboradora y Extractora SPA.;San Dionisio Parcela 67 Lote I;;Colbún;Chile;Jorge;;;
76311487-2;Mundo Sur SpA;San Manuel s/n. Isla Marchant;;Curicó;Chile;Gert Fransk S;;;78517032
76312027-9;SERVIMONTT SpA;CALLE YARANA 1430 BOSQUEMAR;;Puerto Montt;Chile;Jorge;;;
76318376-9;IMPORT. Y DIST. CRICHTON VALDES LTDA;CAUPOLICAN #8000 BODEGA 1 A;;QUILICURA;Chile;BEATRIZ VALDES;;;
76318376-9;IMPORT. Y DIST. CRICHTON VALDES LTDA;CAUPOLICAN #8000 BODEGA 1 A;;QUILICURA;Chile;LUIS URRA PARADA;;;
76321360-9;PRIME ALIMENTOS LTDA.;CHAÑARCILLO # 668;;Maipu;Chile;CAMILO;;;228899000
76324175-0;COMERCIAL PEDRO ULLOA SANCHEZ E.I.R.L.;CURAMO RURAL;;ANCUD;Chile;PEDRO;;;
76327150-1;INVERSIONES Y COMERCIALIZADORA DAYAN LIMITADA;Camino los Refugios 15778, CASA B;;Lo Barnechea;Chile;Moisés Dayan o Carlos Perez;;;
76327150-1;INVERSIONES Y COMERCIALIZADORA DAYAN LIMITADA;CAMINO LOS REFUGIOS 15740;;LO BARNECHEA;Chile;Moisés Dayan;;;
76329072-7;RESITER INDUSTRIAL S.A.;AVENIDA LA PAZ 415;;Santiago;Chile;;;65-232046;65-232042
76339600-2;INVERSIONES PST LTDA.;Av. Calera de Tango Paradero 9, Bodega 2-B. Bodegas Alto,;;CALERA DE TANGO;Chile;CLAUDIO;;;
76341413-2;Comercializadora Biodel Limitada.;Chillan #2541, Independencia, Santiago;;Independencia;Chile;Omar;;;
76355632-8;LOGISTICA INTEGRAL BARCON LTDA;Sector lagunitas s/n;;Puerto Montt;Chile;NURY BARRIA VARGAS;;;
76355632-8;LOGISTICA INTEGRAL BARCON LTDA;Sector lagunitas s/n;;Puerto Montt;Chile;PATRICIA AICON ALMENDRA;;;
76356439-8;COMERCIAL GELATIERE SPA;MANQUEHUE SUR 520 OF. 305;;LAS CONDES;Chile;ARIEL DUJOVNE;;;09 8262955
76356716-8;SOC. INGENIERIA MAQ. Y CONSTRUCCION LTDA;ALTO BONITO KM.8;;PUERTO MONTT;Chile;JAVIER ANABALON;;;
76359643-5;COMERCIALIZADORA HACIENDA CURACAVI LTDA.;HACIENDA CURACAVI S/N;;CURACAVI;Chile;;;;
76361474-3;EMPRESA AGRICOLA HC LTDA;LOS CARRERA 380 OF.425;;LA SERENA;Chile;ANA MARIA;;;051-2672510
76362093-K;Sociedad Servicios de Procesamiento y Comercializacion de Frutas Ramirez, el Canelo y Seding Ltda;El estuche Lote 2-A #0 longitudinal sur km 253;;;Chile;Gladys Riquelme;;;99054766
76366027-3;Sociedad Comercial y Productora Los Mañios Ltda.;Hijuela el Puemo s/n Lt.B Santa Barbara;;Santa Barbara;Chile;;;;994351645
76366888-6;SOTRALOP SPA;Ruta 9, KM 11.5 Norte;;PUNTA ARENAS;Chile;Enrique Lopez;;;
76373269-K;SERV. INDUSTRIALES EDUARDO SALAMANCA EIRL;LAS GAVIOTAS VILLA LOS NOGALES PARCELA 9;;Valdivia;Chile;EDUARDO MANUEL SALAMANCA ACUÑA;;;
76377649-2;AGUASIN SPA;PANAMERICANA 18900;;LAMPA;Chile;JUAN MATURANA - ARIEL CABALLERO;;;
76380903-K;Asesorías Jordan Ltda;Calle Simón Carvallo 16;;Los Álamos;Chile;Alberto;;;9 7539 8988
76380903-K;Asesorías Jordan Ltda;Calle Simón Carvallo 16;;Los Álamos;Chile;Jaime;;;9 7539 8988
76831622-8;Semillero SPA;Pasaje Uranio 1060;;La Florida;Chile;Rosa;;;56994998820
76382367-9;Sociedad Varela Vial Ltda.;Cruz del Sur 757;;Las Condes;Chile;;;;
76382978-2;SERVICIOS Y REPUESTOS A LA CARTA LTDA;LOS CONFINES #1274;;PUERTO MONTT;Chile;JORGE VILLA BELLO;;;
76382978-2;SERVICIOS Y REPUESTOS A LA CARTA LTDA;LOS CONFINES #1274;;PUERTO MONTT;Chile;FELIPE VENEGAS SEGUEL;;;
76388064-8;TRESMONTES S.A.;FREIRE 321;;VALPARAISO;Chile;;;;
76389190-9;MONTAJES SERYMON E.I.R.L;CAMINO A TEPUAL KM 10;;Santiago;Chile;;;65-277478;65-276472
